step,waiting,running,finished,used_blocks,free_blocks,preemptions
202,62,5,13,43,5,60
203,62,5,13,45,3,60
204,62,5,13,45,3,60
205,62,5,13,45,3,60
206,62,5,13,45,3,60
207,62,5,13,45,3,60
208,62,5,13,45,3,60
209,62,5,13,46,2,60
210,62,5,13,46,2,60
211,62,5,13,47,1,60
212,62,5,13,47,1,60
213,62,5,13,47,1,60
214,62,5,13,47,1,60
215,62,5,13,47,1,60
216,62,5,13,47,1,60
217,62,5,13,48,0,60
218,63,4,13,43,5,61
219,62,5,13,48,0,61
220,63,4,13,44,4,62
221,63,3,14,44,4,62
222,62,4,14,37,11,62
223,62,4,14,38,10,62
224,62,4,14,38,10,62
225,62,4,14,39,9,62
