step,waiting,running,finished,used_blocks,free_blocks,preemptions
443,49,2,29,45,3,1483
444,49,2,29,45,3,1493
445,49,2,29,45,3,1503
446,49,2,29,45,3,1513
447,49,2,29,46,2,1523
448,49,2,29,46,2,1533
449,49,2,29,47,1,1543
450,49,2,29,47,1,1553
451,49,2,29,47,1,1563
452,49,2,29,47,1,1573
453,49,2,29,47,1,1583
454,49,2,29,47,1,1593
455,49,2,29,47,1,1603
456,49,2,29,47,1,1613
457,49,2,29,47,1,1623
458,49,2,29,47,1,1633
459,49,2,29,47,1,1643
460,49,1,30,47,1,1653
461,38,12,30,24,24,1653
462,38,12,30,28,20,1653
463,38,12,30,33,15,1653
464,38,12,30,37,11,1653
465,38,12,30,41,7,1653
466,38,12,30,45,3,1653
467,48,2,30,43,5,1663
468,38,12,30,47,1,1663
469,48,2,30,43,5,1673
470,38,12,30,47,1,1673
471,48,2,30,44,4,1683
472,38,12,30,48,0,1683
473,48,2,30,44,4,1693
474,38,12,30,48,0,1693
475,48,2,30,44,4,1703
476,38,12,30,48,0,1703
477,48,2,30,44,4,1713
478,38,12,30,48,0,1713
479,48,2,30,45,3,1723
480,48,2,30,45,3,1733
481,48,2,30,45,3,1743
482,48,2,30,45,3,1753
483,48,2,30,45,3,1763
484,48,2,30,45,3,1773
485,48,2,30,45,3,1783
486,48,2,30,45,3,1793
487,48,2,30,46,2,1803
488,48,2,30,46,2,1813
489,48,2,30,46,2,1823
490,48,2,30,46,2,1833
491,48,2,30,46,2,1843
492,48,2,30,46,2,1853
493,48,2,30,46,2,1863
494,48,2,30,46,2,1873
495,48,2,30,47,1,1883
496,48,2,30,47,1,1893
497,48,2,30,47,1,1903
498,48,2,30,47,1,1913
499,48,2,30,47,1,1923
